symbol	open	high	low	close
GEOMETRIC	264.5	264.5	256.85	258.65
GEOMETRIC	261.5	264.0	257.55	263.4
GEOMETRIC	258.0	260.95	257.0	258.55
GEOMETRIC	258.75	258.75	244.35	250.45
GEOMETRIC	264.4	264.4	257.05	260.1
GEOMETRIC	261.0	263.9	256.35	259.45
GEOMETRIC	260.55	261.85	257.35	258.4
GEOMETRIC	258.65	260.45	255.0	259.2
GEOMETRIC	260.95	264.0	258.8	260.75
GEOMETRIC	260.05	263.0	256.7	260.15
GEOMETRIC	257.4	261.05	257.4	258.4
GEOMETRIC	259.15	260.45	256.0	258.65
GEOMETRIC	258.0	264.95	256.4	257.25
GEOMETRIC	263.0	266.0	260.5	265.2
GEOMETRIC	256.0	260.85	256.0	260.25
GEOMETRIC	256.25	258.35	252.0	255.5
GEOMETRIC	256.85	258.7	253.55	256.9
GEOMETRIC	255.0	258.0	253.05	257.0
GEOMETRIC	260.6	266.0	260.6	262.1
GEOMETRIC	258.95	262.0	256.25	257.65
GEOMETRIC	255.95	262.0	248.6	250.75
GEOMETRIC	251.05	257.9	250.95	256.5
GEOMETRIC	255.0	262.0	255.0	258.0
GEOMETRIC	253.45	258.7	250.75	255.55
GEOMETRIC	262.1	267.05	257.35	261.0
GEOMETRIC	266.5	266.5	262.5	263.25
GEOMETRIC	258.45	258.7	254.9	256.25
GEOMETRIC	254.95	255.25	250.55	252.5
GEOMETRIC	248.0	253.9	248.0	253.3
GEOMETRIC	257.65	260.95	253.0	254.45
GEOMETRIC	257.8	262.0	257.5	260.5
GEOMETRIC	255.0	255.9	253.35	254.35
GEOMETRIC	251.4	257.5	251.4	254.8
GEOMETRIC	248.35	259.0	248.35	258.0
GEOMETRIC	268.4	268.9	264.1	266.55
GEOMETRIC	259.1	261.5	254.45	255.75
GEOMETRIC	259.0	259.0	254.1	255.05
GEOMETRIC	268.95	269.0	253.55	265.05
GEOMETRIC	259.95	259.95	256.5	258.9
GEOMETRIC	256.75	257.0	253.55	255.2
GEOMETRIC	255.0	259.45	254.05	255.8
GEOMETRIC	252.85	256.2	250.7	255.25
GEOMETRIC	258.95	261.1	257.3	260.6
GEOMETRIC	258.95	259.0	254.05	257.15
GEOMETRIC	247.0	253.65	247.0	250.6
GEOMETRIC	265.0	265.05	261.6	262.65
