symbol	series	open	high	low	close	last	prevclose	tottrdqty	tottrval	mydate	totaltrades	isin
3IINFOTECH	EQ	4.4	4.45	4.3	4.3	4.3	4.35	684070	2991352.25	2016-04-21	360	INE748C01020
ABAN	EQ	188.25	189.95	185.75	186.55	185.75	184.45	811346	1.52286965E8	2016-04-21	11709	INE421A01028
ABFRL	EQ	155.2	157.0	150.1	153.15	152.05	154.85	445626	6.788413875E7	2016-04-21	12656	INE647O01011
ABGSHIP	EQ	47.65	48.2	45.6	46.55	46.35	47.15	848640	3.962417255E7	2016-04-21	4767	INE067H01016
ADANIENT	EQ	85.0	85.0	82.15	83.2	82.85	84.2	4341882	3.605170828E8	2016-04-21	8895	INE423A01024
ADANIPORTS	EQ	234.1	236.0	228.4	229.35	229.5	233.5	2990447	6.912778186E8	2016-04-21	62998	INE742F01042
ADANIPOWER	EQ	34.2	34.8	34.15	34.3	34.15	34.55	4525770	1.5568028405E8	2016-04-21	5971	INE814H01011
ADANITRANS	EQ	34.55	34.7	33.15	33.45	33.25	34.35	3096973	1.0460312815E8	2016-04-21	3518	INE931S01010
ADHUNIK	EQ	12.4	13.5	11.75	12.35	12.3	11.75	441626	5627735.65	2016-04-21	1224	INE400H01019
AKSHOPTFBR	EQ	14.25	14.35	13.9	14.05	14.2	14.15	2221292	3.12434519E7	2016-04-21	1151	INE523B01011
ALANKIT	EQ	105.0	105.95	102.15	103.55	103.0	104.3	481393	5.040365E7	2016-04-21	1020	INE914E01032
ALBK	EQ	59.65	61.95	59.3	59.75	59.6	58.55	5117514	3.1145125695E8	2016-04-21	18218	INE428A01015
ALEMBICLTD	EQ	37.65	39.0	37.5	38.6	38.8	37.3	373165	1.425917105E7	2016-04-21	2001	INE426A01027
ALOKTEXT	EQ	5.0	5.05	4.8	4.8	4.85	4.95	3413273	1.667228915E7	2016-04-21	1097	INE270A01011
AMBUJACEM	EQ	228.1	228.4	220.1	221.15	220.6	226.25	1539176	3.439431886E8	2016-04-21	27914	INE079A01024
AMTEKAUTO	EQ	37.3	41.65	37.25	39.4	39.2	36.5	12615739	5.0101383615E8	2016-04-21	40825	INE130C01021
ANANTRAJ	EQ	35.95	36.35	35.25	35.4	35.4	35.65	449052	1.605031825E7	2016-04-21	1850	INE242C01024
ANDHRABANK	EQ	55.15	57.15	55.15	56.2	56.25	54.8	2425132	1.3692899135E8	2016-04-21	14649	INE434A01013
ANGIND	EQ	29.15	29.15	24.2	25.6	26.0	29.1	1462089	3.82275573E7	2016-04-21	7879	INE017D01010
APLLTD	EQ	577.0	618.25	574.95	610.35	615.0	571.95	680854	4.131965983E8	2016-04-21	22394	INE901L01018
APOLLOHOSP	EQ	1401.45	1401.45	1366.2	1376.25	1377.3	1386.4	311154	4.2921909355E8	2016-04-21	19867	INE437A01024
APOLLOTYRE	EQ	169.6	170.75	162.8	164.05	163.8	169.0	2025872	3.3638487475E8	2016-04-21	17913	INE438A01022
ARCHIES	EQ	23.4	24.55	23.05	24.05	24.15	21.85	532902	1.274863125E7	2016-04-21	2294	INE731A01020
ARIES	EQ	116.0	119.75	111.6	112.85	112.35	110.6	368497	4.230670395E7	2016-04-21	5217	INE298I01015
ARVIND	EQ	268.15	278.8	263.7	273.3	273.0	267.5	3586182	9.7841856625E8	2016-04-21	47399	INE034A01011
