it_companies_stock.symbol	it_companies_stock.series	it_companies_stock.open	it_companies_stock.high	it_companies_stock.low	it_companies_stock.close	it_companies_stock.last	it_companies_stock.prevclose	it_companies_stock.tottrdqty	it_companies_stock.tottrval	it_companies_stock.mydate	it_companies_stock.totaltrades	it_companies_stock.isin
HCLTECH	EQ	844.0	855.35	838.5	846.25	846.0	841.2	1117527	9.4941504205E8	2016-04-21	41235	INE860A01027
INFY	EQ	1251.0	1251.0	1218.1	1226.3	1226.8	1243.6	2720550	3.35040972855E9	2016-04-21	97218	INE009A01021
NIITTECH	EQ	507.65	518.3	500.0	500.45	503.95	503.15	397822	2.004262221E8	2016-04-21	3754	INE591G01017
TCS	EQ	2451.0	2467.4	2412.2	2424.4	2418.2	2450.35	1262862	3.08167310625E9	2016-04-21	64118	INE467B01029
TECHM	EQ	484.0	486.5	474.1	476.35	475.0	483.55	1179377	5.67366101E8	2016-04-21	57643	INE669C01036
WIPRO	EQ	570.0	575.65	556.85	558.85	557.3	601.25	5808173	3.2764388486E9	2016-04-21	145567	INE075A01022
HCLTECH	EQ	718.0	727.0	713.0	723.15	721.5	714.7	3575454	2.58383533195E9	2016-05-13	69072	INE860A01027
INFY	EQ	1206.0	1210.0	1192.15	1207.25	1208.0	1210.0	2826032	3.39814190445E9	2016-05-13	81828	INE009A01021
TATAELXSI	EQ	1906.25	1928.0	1881.0	1904.15	1904.0	1905.5	394052	7.508409742E8	2016-05-13	18436	INE670A01012
TCS	EQ	2565.0	2566.0	2510.15	2523.4	2525.0	2566.2	810865	2.05171877845E9	2016-05-13	36862	INE467B01029
TECHM	EQ	482.0	483.5	476.2	479.8	479.35	481.2	1078921	5.181376768E8	2016-05-13	11584	INE669C01036
WIPRO	EQ	542.7	542.7	537.0	539.65	540.0	542.3	849097	4.57533309E8	2016-05-13	14495	INE075A01022
HCLTECH	EQ	732.95	732.95	721.0	722.6	721.05	732.9	3068239	2.2252766534E9	2016-05-06	72632	INE860A01027
INFY	EQ	1189.8	1189.8	1177.05	1181.5	1179.0	1192.45	1298360	1.5345518474E9	2016-05-06	54186	INE009A01021
MINDTREE	EQ	666.8	669.0	658.0	659.0	660.0	664.0	425881	2.820557834E8	2016-05-06	12721	INE018I01017
NIITTECH	EQ	463.4	494.7	455.0	487.6	483.0	460.65	1692465	8.1307520445E8	2016-05-06	41753	INE591G01017
TATAELXSI	EQ	1836.8	1868.7	1825.0	1835.7	1838.0	1837.3	328459	6.066827816E8	2016-05-06	16523	INE670A01012
TCS	EQ	2465.0	2484.3	2431.0	2473.4	2479.0	2470.3	442799	1.08777864555E9	2016-05-06	29141	INE467B01029
TECHM	EQ	475.2	479.0	470.4	473.05	472.4	479.35	948747	4.486959954E8	2016-05-06	17554	INE669C01036
WIPRO	EQ	546.7	546.7	531.6	533.1	531.95	543.1	1288204	6.9012520995E8	2016-05-06	27147	INE075A01022
DATAMATICS	EQ	51.95	56.5	51.95	55.65	55.6	51.2	314081	1.726530065E7	2016-03-29	2866	INE365B01017
HCLTECH	EQ	814.6	816.2	799.9	806.8	807.0	810.65	2531685	2.04252911565E9	2016-03-29	58465	INE860A01027
INFY	EQ	1199.0	1218.9	1191.55	1197.25	1195.0	1204.9	3497678	4.2164172121E9	2016-03-29	91763	INE009A01021
MINDTREE	EQ	624.4	627.2	603.95	616.1	616.85	626.65	911848	5.594156937E8	2016-03-29	53328	INE018I01017
TATAELXSI	EQ	1887.0	1894.5	1828.1	1837.45	1832.15	1892.95	421366	7.809397212E8	2016-03-29	20312	INE670A01012
TCS	EQ	2478.0	2486.95	2455.0	2469.4	2462.4	2473.4	919398	2.27320529365E9	2016-03-29	32196	INE467B01029
TECHM	EQ	475.1	479.85	464.0	467.6	466.55	474.7	2044000	9.635288165E8	2016-03-29	39916	INE669C01036
WIPRO	EQ	557.0	559.0	548.0	553.15	550.85	556.15	1503438	8.290833586E8	2016-03-29	39226	INE075A01022
HCLTECH	EQ	790.0	800.85	782.0	784.55	784.55	792.35	2367829	1.8683186548E9	2016-08-17	95093	INE860A01027
INFY	EQ	1049.95	1052.65	1030.5	1033.3	1034.4	1051.8	3299658	3.4243347241E9	2016-08-17	134252	INE009A01021
MINDTREE	EQ	570.0	570.0	561.25	566.35	569.7	569.15	453471	2.5627630005E8	2016-08-17	19026	INE018I01017
TCS	EQ	2699.0	2699.0	2618.0	2624.55	2628.0	2691.7	924283	2.44153713985E9	2016-08-17	68405	INE467B01029
TECHM	EQ	483.1	487.0	472.2	474.65	473.95	482.95	913427	4.3697134375E8	2016-08-17	31415	INE669C01036
WIPRO	EQ	536.7	538.15	526.6	527.8	527.8	536.5	993836	5.273635938E8	2016-08-17	26315	INE075A01022
