symbol1	symbol2	corr
WIPRO	TATAELXSI	0.8918757
WIPRO	INFY	0.86122817
TATAELXSI	NIITTECH	0.83705634
NIITTECH	INFY	0.79164636
TATAELXSI	INFY	0.7834679
NIITTECH	MINDTREE	0.7653396
WIPRO	NIITTECH	0.7316239
TECHM	NIITTECH	0.67114407
WIPRO	TCS	0.579461
TCS	INFY	0.5590899
WIPRO	TECHM	0.5534603
TATAELXSI	MINDTREE	0.53101337
TECHM	TCS	0.51774836
TECHM	INFY	0.5042857
WIPRO	MINDTREE	0.49132666
HCLTECH	DATAMATICS	0.46551302
MINDTREE	INFY	0.45574227
TCS	TATAELXSI	0.38545334
MINDTREE	HCLTECH	0.37617314
TATAELXSI	HCLTECH	0.33803707
TECHM	TATAELXSI	0.3217994
TECHM	MINDTREE	0.23191296
TCS	NIITTECH	0.03466494
WIPRO	HCLTECH	0.010522102
NIITTECH	HCLTECH	-0.004812945
TCS	MINDTREE	-0.03367341
INFY	HCLTECH	-0.11961919
MINDTREE	DATAMATICS	-0.20524496
TECHM	DATAMATICS	-0.21795177
TECHM	HCLTECH	-0.31344542
TCS	HCLTECH	-0.34020427
TCS	DATAMATICS	-0.41192096
NIITTECH	DATAMATICS	-0.54322803
INFY	DATAMATICS	-0.58751446
TATAELXSI	DATAMATICS	-0.5896145
WIPRO	DATAMATICS	-0.6457886
OFSS	MINDTREE	NULL
OFSS	INFY	NULL
OFSS	HCLTECH	NULL
WIPRO	OFSS	NULL
TECHM	OFSS	NULL
TATAELXSI	OFSS	NULL
TCS	OFSS	NULL
OFSS	NIITTECH	NULL
